	tweet_id	tweet_text
0	1247011564185509888	OES CA EMSA Wh
1	1247011564219236352	Still wondering where UW s COVID19 model update is
2	1247011564261183493	My 20 20 Promotion First 20 Subscribers to my OnlyFans Until April 24rd get their subscription 50 Off Don t A
3	1247011564449714176	8 new COVID 19 Positive cases reported in Rajasthan tally turns to 274
4	1247011567482351617	GOOD NEWS Today for the First Time There were FEWER New Cases and Deaths from Coronavirus than the previo
5	1247011567507402754	Time for Boris Johnson to call Drs Trump and Kushner the COVID 19 researchers
6	1247011567725621248	Best news in a long time
7	1247011568027492352	I am so impressed everyday by the Covid 19 briefings by Alaska s chief medical officer She is compassi
8	1247011568270934016	We Don t Want it Video Shows Crowd in Ivory Coast Destroying Coronavirus Test Centre
9	1247011568522530819	Cows Pigs Chickens next time for some BYND soon lol
10	1247011568837165058	Phuket Governor orders shut down for Karon Rawai thailand coronavirus covid19
11	1247011569340276736	Doctor on hydroxychloroquine I would not prescribe this drug to a Covid 19 patient
12	1247011569411723264	Japan Animal Ventilator Maker Looks to Boost output for Human Coronavirus Patients by Reuters via NYT
13	1247011571345190913	Support Vanessa by signing Laboring mothers must have a partner s support in hospital and I ll deliver a copy
14	1247011571823345665	I m just looking to get my tits sucked no strings attached or covid19 pls
15	1247011571865251840	Inside the epic White House blowup over game changer hydroxychloroquine SmartNews
16	1247011572272132099	The Nizamuddin Markaz of the Tablighi Jamaat in Delhi which was the hotspot for the spreading of the Wuhan Coronav
17	1247011572389642241	Congratulations sir
18	1247011572511367169	Tx for your tweets the warnings and your personal experience with COVID19 Very helpful very reali
19	1247011572578316291	some hard truths here for and in this column by
20	1247011572612022274	How to help seniors get through the COVID 19 pandemic CBC Radio
21	1247011572930805760	Right now if you re a master dissociater you re going to be in a better place You have basically a toolb
22	1247011572951609344	AU Why weren t auspol People Told COVID19AU coronavirus
23	1247011573341646849	This could be his legacy to the world GoCoronaCoronaGo
24	1247011575715598337	Common sense People are saying Bullshit Trump has no sense
25	1247011576239906819	Waves Lets Users Bet on Spread of COVID 19 For Charity instaethereum dapp enigma shill fomo alltimehigh
26	1247011576726589441	Sorry im never going to get tired of this genre
27	1247011576936370176	Of FUCKING course they are Are you awake yet
28	1247011584745959424	To protect public health scientists have had to shut down or scale back post bushfire research and recovery operat
29	1247011584880177152	Kill the coronavirus Justin the world is counting on you
30	1247011585194942465	In other words ignore the truth bombs being delivered by President Trump and believe Maxine Waters ignorant corr
31	1247011585564049408	I think teachers should be really careful before turning anything COVID 19 related into a math
32	1247011588298735617	Firefighters thank hospital workers for tireless fight against coronavirus
33	1247011588390834176	This growth is terrible A 40 increase in 24 hours
34	1247011588629917702	why would u think china lie because its flat line chinese scientist discover t
35	1247011588709597187	Joe Rogan Ponders Long Term Effects of Coronavirus Lockdown via
36	1247011590018191361	I love this so much for so many reasons
37	1247011593247834113	curm In the bill that we just passed we had the Pandemic Response Accountability Comm
38	1247011593898074113	Mexico to stop brewing Corona beer amid global coronavirus outbreak
39	1247011594065903616	
40	1247011597098328065	It s silly satire though
41	1247011597312090113	Masks do help But do not use N95 masks if you are healthy The Doctors and health workers need them the most Let
42	1247011597790236673	is it True After 2 Dogs from Hong Kong Tiger in New York Zoo Tests Positive for Coronavirus
43	1247011598327259136	Proof he s using you for free campaign ads Either give the Democratic candidates equal time or cut o
44	1247011600025833473	What to do in quarantine Do memes of myself lol Here is when I almost break my neck lol coronavirus Utah
45	1247011601003118593	It s almost summer time and that means mosquitoes So if a mosquito bites someone with COVID 19 and then bites some
46	1247011601061801984	There will be vaccine sometime in future to cure coronavirus COVID19 but there can never be one for Stupidity S
47	1247011601305272320	Fucking moron Trump says US stockpiling hydroxychloroquine which is not yet an FDA approved COVID 19 treatment
48	1247011601363767298	Its not that bad Listen to the dr
49	1247011605231042566	Interesting Oxygen starvation rather than lack of air If the alveoli are being attacked at the cellular level as
50	1247011605243736064	Continuing to go beyond the hedges this time with community in mind thank you will
51	1247011605273075712	Emptyhospitals Covid 19 There is no nonsense in america
52	1247011605516177410	No fucking outdoor exercise for you San Diego WTFIsHappening
53	1247011606124351488	so Los Angeles county has a total of about 4500 confirmed cases of the coronavirus and 89 deaths in A population o
54	1247011606405378050	What is social distancing CoronaOutbreak Covid 19 coronaupdatesindia
55	1247011606413918208	Is insanity a Coronavirus symptom GetChecked
56	1247011606459863040	Lol at America getting a taste of what bio warfare could look like w coronavirus
57	1247011609584648192	Apparently workers at the Albany power plant are living at the plant Why aren t those who work at retirement comm
58	1247011610666971139	Where America Didn t Stay Home Even as the Virus Spread The New York Times
59	1247011614383124488	Tiger At Bronx Zoo Tests Positive For COVID 19
60	1247011614764732416	Every Coronavirus death will be going right in the DNC voter ballot box Without fraud and illegal votes the commu
61	1247011618594095104	all these deaths are blood on your hands Covid 19 TrumpIsALoser TrumpPlague COVID19
62	1247011619017654273	UK have the Queen Germans have Angela Canadians have Justin French have Emmanuel Amer
63	1247011619135090689	Santa Clara County reports sheltering of all homeless with COVID 19
64	1247011619466555392	I wonder if this has anything to do with it Courtesy
65	1247011619659550720	A side effect of coronavirus is also dying Let the people decide if a doctor prescribes it for a person s treatment
66	1247011622276616192	23 dead in prison riot in Colombia prompted by coronavirus fears Ministry of Justice says
67	1247011622897553415	HydroxyChloroquine Z pack Zinc Physician s case studies of 21 patients with COVID19 group exposure at church f
68	1247011623501328385	I think the only way to deal with this is at the ballot box But if US has to go completely to mail
69	1247011623904002049	In light of covid19 we wanted to bring a little laughter
70	1247011626064191489	x 54
71	1247011626655637504	finally a use for an RV
72	1247011628006043648	Al Mighty please save more about this Cases 1 23 Mil
73	1247011628098506758	When will CoronaVirus Outbreak Pandemic end as Astrology Prediction by Amit kapoor
74	1247011628220063745	New York City in the Coronavirus Pandemic New Yorker
75	1247011630912765953	Walking from France to Spain for Cheap Smokes Man Fined Over anti Coronavirus Norm Violation
76	1247011631105597441	This is sad news This pub was my regular haunt for a good decade
77	1247011634423496704	Coronavirus Is the EU s Erasmus program under threat
78	1247011634490441728	Trump says US stockpiling hydroxychloroquine which is not yet an FDA approved COVID 19 treatment
79	1247011634662592512	aLl sTuDenTs cMg bAcK fRoM tHe Uk WiLl bE sTaYiNg iN HOTELS
80	1247011634674974720	What
81	1247011635438301185	Like assuming you ve been lied to and questioning about the origins in the wet market Ne
82	1247011635690168320	Federal funding to help state and local officials prepare for emergencies such as the coronavirus outbreak fell fro
83	1247011635945930755	Exactly right That s why liberal democrat establishment is against it Trump right again Hydroxychloroquine
84	1247011637221081088	hwarang Just read today that 70 of COVID 19 deaths in Chicago are Black people and of course our gang in
85	1247011638575796224	This is big news of true
86	1247011639364214786	NATDOG We ll pay a temporary fortnightly 550 Coronavirus Supplement from 27 April 2020 if you re getting an el
87	1247011639653740547	Probably not considering that Radical 6 makes you want to kill yourself and SPOILERS slows down y
88	1247011640328876034	What nobody says he died yesterday was raping coma patients
89	1247011640723124224	Corona Update BronxZoo NY tiger infected with Coronavirus First Known Animal Case BE CAREFUL Passauf
90	1247011644380758017	Virtual Art Program Engages and Educates Children During COVID 19
91	1247011646544818176	1000 Americans died today from COVID19 the economy is in free fall the President is a snake oil salesman and
92	1247011647463608321	LIES
93	1247011647790534665	Elizabeth Warren Demands Racial Data of those with Coronavirus
94	1247011647794958337	Mixer gives every streaming partner 100 to help during COVID 19
95	1247011647929167872	Elton John Launches 1 Million COVID 19 Emergency Fund
96	1247011647966695425	Form101 Nigerians in Diaspora Commission to Nigerian nationals abroad in the wake of the
97	1247011648080154626	Novartis Trump says US stockpiling hydroxychloroquine which is not yet an FDA approved COVID 19 treatment
98	1247011648382160897	We ll just put you on the special list of those who absolutely may NOT take these drugs no matter what Always root
99	1247011648486817792	poor Nadia
100	1247011648751063042	With record setting speed vaccinemakers take their first shots at the new coronavirus
101	1247011651045355523	For April 2020 AGnVET Services will be closing all of our stores on Easter Saturday 11th April and ANZAC Day Sat
102	1247011652588822532	Expressing their gratitude perhaps to Covid19 to let them stay confined What was expected to be a solem
103	1247011653167636480	So sad but true
104	1247011653708808192	EDITORIAL Screening for Covid 19 is welcome news
105	1247011655331921922	Those of us who fell for a heartwarming tale of a Pakistani Air Traffic Control officer praising Air India pilots f
106	1247011655550025729	Please stay home
107	1247011656120578048	Coronavirus Is Europe losing Italy
108	1247011656225427457	The Big Read Coronavirus Is Europe losing Italy
109	1247011656644931590	Guys for latest on fight with COVID19 please see my live interview on ABP Hindi at 10 am today Indian standard time Stay home stay safe
110	1247011656930152448	Renner Sad that this thread is full of complete BS ICU beds here in NY are full Man
111	1247011659639443457	There s a ray of hope for England
112	1247011659647987715	Trump Calls Covid 19 Fight an All out Military Operation as More Than 3 3 Lakh Americans Get Infected
113	1247011660117745666	Simon Cowell Lauren Silverman and their kids escape isolation to walk the dogs via
114	1247011660407152640	Tiger at New York s Bronx Zoo tests positive for coronavirus after contact with worker
115	1247011660830654464	NSTworld The Covid 19 death toll in the US now stands at 9 633 with at least 337 072 confirmed infections
116	1247011661107662848	So could it just be a coronavirus
117	1247011663800221696	Coronavirus update UK set for long lockdown death toll 4313 via
118	1247011664043462659	Coronavirus can infect cats dogs not so much There is no direct evidence tha
119	1247011664521814016	Such an interesting story
120	1247011664937078787	7 new confirmed case s in El Salvador totaling 69 in this place Already 2 547 440 worldwide coronavirus covid19 ElSalvador
121	1247011665037545472	What does mask4all mean from public health viewpoint 1 Provide PPEs for all healthcare workers 2 For general p
122	1247011665096425477	New COVID 19 childcare funding system could force closure of Redlands centre
123	1247011665423433728	How s Tennessee s coronavirus impact these days
124	1247011668028198912	so scary that animals can get it Now I hope that squirrels don t get it or we are all done for it
125	1247011669227769859	Someone keeps turning up the difficulty level on this game
126	1247011672381886470	Some members of the human animal species still carry the neanderthal gene
127	1247011672797003776	Even as their role in fighting COVID 19 has become clear child care workers remain an afterthought The Star
128	1247011673510010881	That would be too good for ratings
129	1247011673916858374	Hmmm And what part of the Gulag are you from
