	tweet_id	tweet_text
0	1259695850567069697	With great power comes great irresponsibility
1	1259695851670249473	The Trump Administration Is Made of Swiss Cheese
2	1259695851691073536	Don t know about times now but definitely all BJP office bearers are like children Chhoti chhoti baato me bhi modi
3	1259695852240556036	This is akin to manslaughter If I had a family member in one of those nurseries I would be suing these Governors
4	1259695853570347009	Thank you for writing As a precaution against spread of coronavirus our Voice support is currently not o
5	1259695854266572802	Farmworkers key to keeping America fed wary of coronavirus but getting help from initiatives giving back
6	1259695855369478145	Chemist A single woman you ar
7	1259695856535703552	We can t stay home how America s poorest state is trying to reopen The boulevard that snakes along the Biloxi co
8	1259695860528513025	New on YouTube Coronavirus Outbreak UFC s Dana White says we re gonna prove that pro sports can come back safel
9	1259695861606395905	Earlier on Sunday Mr Trump tweeted that he was getting great marks for his handling of the coronavirus pandemic
10	1259695862063624192	Flattening the Disability Curve Rehabilitation and Recovery after COVID 19 Infection
11	1259695862202187777	13th resident dies from coronavirus at Kane s Glen Hazel facility May 11 12 02 AM ET
12	1259695862328025089	Join me in helping CoronaVirus victims with Ecoin and earn 600 Ecoins worth 3 free Ecoin the world s fa
13	1259695862390894592	Nope If I had meant COVID 19 then I would have said COVID 19
14	1259695862785011714	B C plans ambitious fix of surgical wait list backlog while still fighting COVID 19
15	1259695863372414977	Essentially Trump has decided the economy can no longer be restrained and is willing to take a miscal
16	1259695863443546113	Get those lawsuits ready
17	1259695864051728384	Pet s Round Shaped Fluffy Bed 29 04 shopeflix buyonline covid19 stayhomestaysafe
18	1259695864064274433	correction coronavirus cs is wild right now
19	1259695864123187201	Only from the autopsy
20	1259695864714416130	This is because of mass testing using blood RDT then those who are positive will be swabbed for RT PCR
21	1259695864844447744	this is Republicanism just straight up welfare queen invoking bullshit
22	1259695865330937856	Freedom America when the people stand up the government shakes this time it s your freedom don t stop until you a
23	1259695865456779264	Do public health officials discuss it s quite unlikely to catch anything while sittin
24	1259695866459242496	Encouraging Biotech firm says COVID 19 treatment could be ready by summer
25	1259695870032764928	Leather goods in a shopping mall became moldy during a movement control order MCO also known as a lockdown Se
26	1259695871060402176	bhagat Where were you when it was being pointed out that U P and Assam can be considered the best havi
27	1259695871718981632	I haven t washed my hair in so long and I wear pajamas all the time And the kids are always home and awake
28	1259695873862352896	Coronavirus Businesses want clear guidance on return to work We all need clear guidance giving us limited inf
29	1259695874361393152	day46oflockdown COVID19 COVIDIOT CigaretteBan when people zol
30	1259695874751504385	BENEV Company Inc Takes On The Fight Against COVID 19 businessNews
31	1259695877410615296	Fauci and two other White House coronavirus task force members in quarantine
32	1259695877783863308	puckett Apparently without a care for these mothers
33	1259695879667081217	Can you please find out why we are not installing human safe U V light fixtures in elevators buses
34	1259695879692283904	Because he s stupid and arrogant and VERY VERY BAD for America
35	1259695880032202753	Great China ban that allowed 40K into the country from China after it was put in place And co
